Rk,Player,HR,PA,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
1,Cal Raleigh,60,705,2025,28,SEA,AL,159,705,596,110,147,63,24,0,60,125,14,4,97,188,.247,.359,.589,.948,169,351,6,9,0,3,17,*2D/H,raleica01
2,Nelson Cruz,44,655,2015,34,SEA,AL,152,655,590,90,178,111,22,1,44,93,3,2,59,164,.302,.369,.566,.936,159,334,6,5,0,1,9,9D,cruzne02
3,Nelson Cruz,43,667,2016,35,SEA,AL,155,667,589,96,169,98,27,1,43,105,2,0,62,159,.287,.360,.555,.915,147,327,15,9,0,7,5,D9,cruzne02
4,Robinson Canó,39,715,2016,33,SEA,AL,161,715,655,107,195,121,33,2,39,103,0,1,47,100,.298,.350,.533,.882,138,349,18,8,0,5,8,*4/D,canoro01
5,Nelson Cruz,39,645,2017,36,SEA,AL,155,645,556,91,160,93,28,0,39,119,1,1,70,140,.288,.375,.549,.924,149,305,15,12,0,7,7,*D/9H,cruzne02
6,Mitch Haniger,39,691,2021,30,SEA,AL,157,691,620,110,157,93,23,2,39,100,1,0,54,169,.253,.318,.485,.804,122,301,12,9,0,8,2,*9D,hanigmi01
7,Nelson Cruz,37,591,2018,37,SEA,AL,144,591,519,70,133,77,18,1,37,97,1,0,55,122,.256,.342,.509,.850,135,264,15,14,0,3,5,*D/9H,cruzne02
8,Kyle Seager,35,670,2021,33,SEA,AL,159,670,603,73,128,63,29,1,35,101,3,1,59,161,.212,.285,.438,.723,100,264,7,4,0,4,2,*5D/H,seageky01
9,Cal Raleigh,34,628,2024,27,SEA,AL,153,628,546,73,120,70,16,0,34,100,6,1,70,176,.220,.312,.436,.748,118,238,7,6,0,6,4,*2D/H,raleica01
10,Julio Rodríguez,32,714,2023,22,SEA,AL,155,714,654,102,180,109,37,2,32,103,37,10,47,175,.275,.333,.485,.818,130,317,14,11,0,2,6,*8/D,rodriju01
11,Julio Rodríguez,32,710,2025,24,SEA,AL,160,710,652,106,174,107,31,4,32,95,30,6,44,152,.267,.324,.474,.798,128,309,15,12,0,2,5,*8/DH,rodriju01
12,Eugenio Suárez,31,629,2022,30,SEA,AL,150,629,543,76,128,71,24,2,31,87,0,0,73,196,.236,.332,.459,.791,129,249,12,8,0,5,0,*5D/H,suareeu01
13,Cal Raleigh,30,569,2023,26,SEA,AL,145,569,513,78,119,65,23,1,30,75,0,0,54,158,.232,.306,.456,.762,114,234,6,1,0,1,1,*2HD,raleica01
14,Kyle Seager,30,676,2016,28,SEA,AL,158,676,597,89,166,97,36,3,30,99,3,1,69,108,.278,.359,.499,.859,133,298,18,8,0,2,10,*5/D,seageky01
15,Daniel Vogelbach,30,558,2019,26,SEA,AL,144,558,462,73,96,49,17,0,30,76,0,0,92,149,.208,.341,.439,.780,111,203,4,2,0,2,2,D3H,vogelda01
16,Raúl Ibañez,29,496,2013,41,SEA,AL,124,496,454,54,110,59,20,2,29,65,0,0,42,128,.242,.306,.487,.793,123,221,8,0,0,0,1,7D/H9,ibanera01
17,Julio Rodríguez,28,560,2022,21,SEA,AL,132,560,511,84,145,89,25,3,28,75,25,7,40,145,.284,.345,.509,.853,147,260,7,8,0,1,4,*8/DH,rodriju01
18,Randy Arozarena,27,709,2025,30,SEA,AL,160,709,613,95,146,86,32,1,27,76,31,6,64,191,.238,.334,.426,.760,119,261,9,27,0,5,2,*7/D,arozara01
19,Cal Raleigh,27,415,2022,25,SEA,AL,119,415,370,46,78,30,20,1,27,63,1,0,38,122,.211,.284,.489,.774,122,181,5,2,0,5,0,*2H/D,raleica01
20,Kyle Seager,27,650,2017,29,SEA,AL,154,650,578,72,144,83,33,1,27,88,2,1,58,110,.249,.323,.450,.773,109,260,6,8,0,6,6,*5/H,seageky01
21,Mitch Haniger,26,683,2018,27,SEA,AL,157,683,596,90,170,102,38,4,26,93,8,2,70,148,.285,.366,.493,.859,139,294,8,10,0,7,4,*98/7D,hanigmi01
22,Teoscar Hernández,26,678,2023,30,SEA,AL,160,678,625,70,161,104,29,2,26,93,7,2,38,211,.258,.305,.435,.741,108,272,6,8,0,7,2,*9D/H,hernate01
23,Jorge Polanco,26,524,2025,31,SEA,AL,138,524,471,64,125,69,30,0,26,78,6,3,42,82,.265,.326,.495,.821,134,233,7,3,3,5,1,D4H/53,polanjo01
24,Kyle Seager,26,686,2015,27,SEA,AL,161,686,623,85,166,103,37,0,26,74,6,6,54,98,.266,.328,.451,.779,117,281,17,5,0,4,6,*5/6H,seageky01
25,Kyle Seager,25,654,2014,26,SEA,AL,159,654,590,71,158,102,27,4,25,96,7,5,52,118,.268,.334,.454,.788,127,268,12,8,1,3,3,*5/DH,seageky01
26,Mike Zunino,25,435,2017,26,SEA,AL,124,435,387,52,97,47,25,0,25,64,1,0,39,160,.251,.331,.509,.840,125,197,8,8,0,1,0,*2/HD,zuninmi01
27,Ryon Healy,24,524,2018,26,SEA,AL,133,524,493,51,116,77,15,0,24,73,0,0,27,113,.235,.277,.412,.688,91,203,21,2,0,2,0,*3/H5,healyry01
28,Robinson Canó,23,648,2017,34,SEA,AL,150,648,592,79,166,110,33,0,23,97,1,0,49,85,.280,.338,.453,.791,114,268,18,4,0,3,8,*4/H,canoro01
29,Kendrys Morales,23,657,2013,30,SEA,AL,156,657,602,64,167,110,34,0,23,80,0,0,49,114,.277,.336,.449,.785,123,270,21,5,0,1,6,*D3/H,moralke01
30,Kyle Seager,23,443,2019,31,SEA,AL,106,443,393,55,94,51,19,1,23,63,2,2,44,86,.239,.321,.468,.789,111,184,12,4,0,2,0,5/HD,seageky01
31,Omar Narváez,22,482,2019,27,SEA,AL,132,482,428,63,119,85,12,0,22,55,0,0,47,92,.278,.353,.460,.813,119,197,5,4,0,3,1,2DH/4,narvaom01
32,Luke Raley,22,455,2024,29,SEA,AL,137,455,404,58,98,55,19,2,22,58,11,2,27,135,.243,.320,.463,.783,128,187,2,20,2,2,0,739H/8D,raleylu01
33,Kyle Seager,22,695,2013,25,SEA,AL,160,695,615,79,160,104,32,2,22,69,9,3,68,122,.260,.338,.426,.764,118,262,8,7,0,5,1,*5/H,seageky01
34,Kyle Seager,22,630,2018,30,SEA,AL,155,630,583,62,129,70,36,1,22,78,2,2,38,138,.221,.273,.400,.673,86,233,10,5,0,4,3,*5/H4D,seageky01
